"original_address,lat,lon,formatted,name,street,postcode,district,suburb,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url"
"MZ Makova sedmica	,46.1522597,19.67003698991808,""?? ?????? ???????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mala Bosna	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mali Bajmok	 ,46.0728407,19.628430135529225,""?? ???? ??????, City of Subotica, Vojvodina, Serbia"",,,24107,Subotica,?? ???? ??????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mali Radanovac,46.11673665,19.698437103988134,""?? ???? ?????????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???? ?????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Mišicevo	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novi grad	 ,46.0879259,19.716547919027605,""?? ???? ????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???? ????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novi Žednik	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Novo Selo	 ,46.100381,19.63834097236864,""?? ???? ????, City of Subotica, Vojvodina, Serbia"",,,71210,Subotica,?? ???? ????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Palic	 ,46.1143455,19.76213229223572,""?? ?????, City of Subotica, Vojvodina, Serbia"",,,24413,?????,?? ?????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Pešcara	 ,46.1056459,19.60513436724461,""?? ???????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Prozivka	 ,46.0857718,19.675286437974144,""?? ????????, City of Subotica, Vojvodina, Serbia"",,,24117,Subotica,?? ????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Radanovac	 ,46.117377250000004,19.725359798360046,""?? ?????????, City of Subotica, Vojvodina, Serbia"",,,24108,Subotica,?? ?????????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Stari Žednik	 ,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Šupljak	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Tavankut	,44.716056,21.173301,""Union MZ, ???? ?????????????, 12208 Pozarevac, Serbia"",Union MZ,???? ?????????????,12208,,,Pozarevac,Branicevo District,Central Serbia,Serbia,rs,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Verušic	,45.99943195,19.665100597607545,""?? ???????, City of Subotica, Vojvodina, Serbia"",,,,????? ??????,?? ???????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Višnjevac	,45.9513874,19.7439629,""Višnjevac, 24222 City of Subotica, Serbia"",Višnjevac,,24222,,,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Zorka	,46.129924900000006,19.6373812285265,""?? ?????, City of Subotica, Vojvodina, Serbia"",,,,Subotica,?? ?????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MZ Željeznicko naselje	 ,46.1277297,19.661568514143674,""?? ?????????? ??????, City of Subotica, Vojvodina, Serbia"",,,24110,Subotica,?? ?????????? ??????,City of Subotica,North Backa Administrative District,Vojvodina,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
